	TCGA-06-0001-01A	TCGA-06-0002-01A	TCGA-06-0003-01A	TCGA-06-0004-01A	TCGA-06-0005-01A	TCGA-06-0006-01A	TCGA-06-0007-01A	TCGA-06-0008-01A	TCGA-06-0009-01A	TCGA-06-0010-01A	TCGA-06-0011-01A	TCGA-06-0012-01A	TCGA-06-0013-01A	TCGA-06-0014-01A	TCGA-06-0015-01A	TCGA-06-0016-01A	TCGA-06-0017-01A	TCGA-06-0018-01A	TCGA-06-0019-01A	TCGA-06-0020-01A
GENE_0280	55	52	50	53	53	55	50	49	47	43	56	52	49	49	60	42	38	47	49	64
GENE_0281	58	57	45	50	56	53	65	44	65	55	49	51	48	56	43	51	46	49	44	43
GENE_0282	47	55	61	42	45	53	39	55	38	44	43	46	43	57	38	56	51	56	48	57
GENE_0283	47	45	54	55	44	53	61	60	57	48	45	57	46	52	45	53	42	52	50	48
GENE_0284	48	49	41	45	48	54	51	41	45	50	46	46	55	57	52	56	53	48	50	50
GENE_0285	53	54	43	51	52	69	45	52	50	62	59	58	52	49	57	63	42	44	51	32
GENE_0286	58	47	52	54	48	41	39	38	51	38	53	45	63	56	56	43	57	52	40	45
GENE_0287	68	40	38	43	59	62	48	37	53	48	45	45	65	70	57	47	52	53	36	48
GENE_0288	60	51	45	50	53	43	38	61	53	54	44	50	50	69	57	51	47	41	52	46
GENE_0289	43	43	55	67	48	54	54	45	56	51	57	58	43	45	47	53	53	54	54	53
GENE_0290	49	54	46	54	47	51	50	53	41	53	48	60	59	40	55	50	46	42	56	54
GENE_0291	63	46	38	39	59	51	49	46	48	50	39	42	55	49	56	57	49	63	45	48
GENE_0292	38	44	49	50	50	39	64	50	58	56	39	50	46	41	49	49	55	66	61	50
GENE_0293	42	43	43	57	60	54	49	37	56	56	44	56	57	50	42	38	49	41	43	44
GENE_0294	53	56	40	60	41	53	48	46	41	40	46	47	46	41	43	41	45	39	53	37
GENE_0295	59	56	62	58	46	64	46	57	47	38	50	63	56	51	57	51	52	52	55	71
GENE_0296	66	54	47	54	51	62	55	53	46	41	47	60	51	60	47	43	55	44	46	52
GENE_0297	48	45	38	37	43	59	44	55	56	47	34	60	63	63	39	48	50	67	60	50
GENE_0298	48	58	36	56	52	59	46	43	48	50	51	46	45	50	53	55	49	49	56	51
GENE_0299	47	41	50	49	56	52	57	50	42	38	56	50	48	54	51	44	56	60	47	49
GENE_0300	46	53	60	43	52	45	54	51	56	56	60	57	44	47	49	54	58	46	41	41
GENE_0301	53	50	40	42	43	48	50	55	56	47	67	58	57	43	41	43	51	62	51	45
GENE_0302	48	51	51	63	43	52	47	52	71	42	51	59	60	57	40	49	44	50	49	50
GENE_0303	55	51	63	43	49	58	45	50	60	49	55	49	53	43	45	48	64	37	45	45
GENE_0304	50	52	49	46	46	48	50	53	49	57	54	48	42	44	44	57	52	58	55	49
GENE_0305	50	52	45	40	55	54	40	43	48	56	54	57	52	48	49	54	39	37	51	41
GENE_0306	37	55	49	29	45	55	48	56	55	62	50	64	41	41	51	56	47	50	40	34
GENE_0307	49	51	56	52	60	52	50	60	48	49	48	43	51	54	45	56	57	53	64	44
GENE_0308	56	42	54	50	51	43	45	50	37	50	43	45	38	46	50	52	47	59	51	42
GENE_0309	55	41	47	59	49	41	44	39	39	63	52	63	33	37	54	47	44	57	52	44
GENE_0310	49	52	46	54	49	43	37	52	56	61	44	35	51	50	43	53	59	61	56	45
GENE_0311	55	54	64	54	67	50	44	45	49	49	46	34	52	42	55	66	46	50	40	56
GENE_0312	48	43	45	44	43	53	49	50	57	41	61	59	50	59	44	41	43	62	39	47
GENE_0313	49	49	42	57	57	43	56	57	54	51	53	43	44	47	47	48	47	62	51	54
GENE_0314	47	54	46	61	53	44	53	52	58	42	42	56	56	44	53	52	50	49	54	45
GENE_0315	55	48	44	53	47	52	48	60	41	58	59	43	54	58	58	60	64	44	49	45
GENE_0316	62	47	51	53	58	63	55	46	55	60	54	41	50	46	44	64	52	59	52	49
GENE_0317	57	54	59	50	49	49	49	51	43	59	54	42	47	58	61	55	52	50	55	66
GENE_0318	52	52	55	59	47	50	51	48	48	47	53	56	49	45	60	49	35	49	47	51
GENE_0319	57	50	38	61	45	45	51	48	55	53	50	39	47	62	50	57	45	50	42	59
GENE_0320	60	42	49	57	65	43	40	43	40	53	54	40	41	55	47	52	45	56	54	51
GENE_0321	45	59	51	48	57	49	52	60	48	48	51	58	49	61	57	43	56	55	48	44
GENE_0322	46	50	54	51	52	52	43	61	46	62	57	56	63	44	42	51	45	59	52	46
GENE_0323	48	43	48	52	38	39	47	48	56	62	50	48	56	62	50	45	47	48	62	49
GENE_0324	53	39	49	46	61	53	40	40	51	41	53	51	47	44	62	39	44	53	44	47
GENE_0325	57	43	42	47	41	50	51	49	41	60	40	52	47	36	37	57	38	46	45	55
GENE_0326	49	57	61	64	52	46	55	41	42	42	44	58	52	51	59	46	53	49	42	37
GENE_0327	46	55	54	50	59	45	32	46	45	43	63	43	63	57	58	45	57	44	42	46
GENE_0328	32	60	48	47	49	52	45	44	50	65	46	56	51	51	51	53	51	47	60	63
GENE_0329	54	49	42	53	60	50	55	52	64	51	49	49	50	33	48	43	50	40	57	54
GENE_0330	49	59	55	47	52	40	47	62	51	56	53	58	49	47	40	35	37	39	45	59
GENE_0331	45	56	51	51	45	54	50	49	53	51	56	49	33	48	64	46	58	44	50	60
GENE_0332	61	61	43	49	65	49	49	56	47	51	52	46	44	51	52	48	49	51	51	49
GENE_0333	41	46	54	51	63	54	53	56	64	54	71	50	46	41	59	46	38	42	55	55
GENE_0334	40	49	50	46	51	48	54	47	39	55	49	62	43	67	54	47	63	57	43	42
GENE_0335	45	57	42	31	46	45	50	48	48	53	45	47	31	43	48	44	61	43	43	47
GENE_0336	51	55	47	47	51	38	35	47	47	59	53	49	52	48	38	42	51	37	50	59
GENE_0337	47	44	52	48	49	52	48	44	50	46	54	51	55	54	44	50	45	49	45	57
GENE_0338	46	54	54	48	42	39	61	58	54	44	42	44	50	55	47	45	57	38	48	47
GENE_0339	47	48	39	46	46	46	52	44	52	43	60	53	59	50	55	42	58	51	49	55
GENE_0340	46	48	53	52	56	53	50	42	65	53	57	55	50	46	60	55	34	54	53	47
GENE_0341	42	33	47	53	53	42	53	48	43	43	47	44	51	43	52	48	50	50	51	41
GENE_0342	50	48	58	47	53	58	65	41	29	48	59	51	43	56	59	44	53	55	52	52
GENE_0343	52	63	45	46	51	55	56	56	54	53	58	41	55	52	55	50	45	46	46	52
GENE_0344	55	29	56	52	45	50	58	50	44	58	57	57	43	54	48	50	42	57	50	56
GENE_0345	53	51	53	48	48	37	50	47	52	46	41	51	49	55	54	61	52	46	50	43
GENE_0346	43	50	52	40	52	51	55	52	61	58	53	57	46	61	54	58	49	45	47	57
GENE_0347	43	50	39	44	50	55	51	45	52	54	37	45	49	47	61	66	64	49	53	55
GENE_0348	48	42	52	42	42	44	59	55	47	43	38	68	42	52	55	58	51	55	45	42
GENE_0349	39	57	45	46	37	51	47	51	54	57	60	60	49	63	63	52	46	54	45	49
GENE_0350	56	53	50	47	50	39	50	43	38	51	50	51	43	50	49	55	44	60	57	51
GENE_0351	55	47	52	51	41	49	51	57	38	69	55	46	53	55	55	48	53	38	51	44
GENE_0352	42	50	41	48	56	52	51	57	52	58	55	47	50	56	58	54	51	52	58	48
GENE_0353	48	49	44	43	47	41	39	39	51	48	39	50	55	55	52	54	41	52	62	72
GENE_0354	51	50	52	55	56	44	38	46	50	42	48	51	57	56	55	61	45	46	50	50
GENE_0355	44	50	40	47	48	46	53	55	49	44	51	59	52	49	36	58	42	52	56	50
GENE_0356	50	61	48	52	50	51	56	55	43	55	57	49	49	53	56	53	45	45	57	51
GENE_0357	62	53	43	45	47	70	55	44	47	53	56	47	54	56	45	40	44	42	51	51
GENE_0358	62	46	47	41	52	38	48	49	51	61	44	41	46	51	46	65	36	41	52	49
GENE_0359	48	56	49	47	47	54	52	54	59	49	63	62	45	50	50	44	62	52	50	41
GENE_0360	37	55	63	51	48	43	60	53	49	63	41	65	50	49	57	59	48	48	62	47
GENE_0361	53	51	55	53	56	52	49	27	37	50	39	46	53	47	45	44	56	43	58	46
GENE_0362	40	37	48	33	56	55	48	66	50	53	53	55	49	49	50	45	47	38	46	51
GENE_0363	43	50	53	50	50	55	51	54	53	50	54	42	54	45	61	36	40	53	56	47
GENE_0364	48	55	60	41	59	45	47	44	61	43	42	51	50	42	53	54	46	48	54	47
GENE_0365	40	55	51	40	55	40	53	47	42	48	54	45	58	47	38	48	44	40	44	61
GENE_0366	48	61	49	46	45	67	43	45	60	36	52	49	58	57	54	40	44	47	44	48
GENE_0367	35	56	59	70	49	47	52	51	48	65	45	57	38	50	66	55	44	50	45	50
GENE_0368	43	46	56	47	64	41	50	35	61	49	48	52	42	52	39	47	45	51	47	42
GENE_0369	48	56	51	58	53	53	52	48	48	48	56	37	60	46	44	49	51	58	48	36
GENE_0370	51	51	49	49	55	55	49	54	46	55	56	54	53	49	59	47	52	58	50	46
GENE_0371	49	54	49	58	50	54	49	55	51	49	58	58	41	58	41	60	48	52	43	53
GENE_0372	52	46	58	48	47	41	51	45	37	41	47	40	48	50	44	48	55	56	47	49
GENE_0373	50	48	47	59	44	47	55	35	55	53	49	46	55	46	54	57	54	43	42	45
GENE_0374	53	60	31	45	47	44	51	56	54	60	33	51	51	45	35	54	52	39	47	42
GENE_0375	55	56	43	55	39	46	41	52	45	39	40	42	54	58	41	56	48	51	53	38
GENE_0376	42	53	54	41	66	38	59	58	62	47	58	41	53	48	50	50	47	49	54	44
GENE_0377	56	45	52	39	56	47	48	56	48	52	57	50	55	67	45	36	41	42	47	46
GENE_0378	64	46	53	58	53	35	68	47	50	55	44	40	47	58	57	35	47	44	51	52
GENE_0379	44	52	47	64	55	47	49	48	55	46	43	42	53	59	44	49	41	52	47	51
GENE_0380	47	50	49	61	51	52	60	51	43	56	60	50	50	41	54	55	53	51	38	51
GENE_0381	57	55	44	37	49	46	44	50	33	49	55	42	45	50	46	49	59	50	40	56
GENE_0382	40	55	53	41	41	42	54	41	46	40	56	55	55	42	47	35	54	46	39	46
GENE_0383	58	63	62	52	56	50	47	52	49	40	62	55	45	53	58	50	58	44	41	46
GENE_0384	56	58	48	40	49	44	54	42	52	40	55	49	51	54	49	59	45	47	46	33
GENE_0385	47	58	38	51	63	29	44	58	52	50	49	62	50	42	34	46	56	44	52	49
GENE_0386	60	53	54	52	55	46	43	49	39	60	52	40	54	50	48	44	52	44	50	45
GENE_0387	44	67	49	54	54	60	60	45	51	65	60	53	56	75	41	48	46	45	35	55
GENE_0388	44	39	54	46	53	58	47	64	46	50	46	53	40	47	62	57	50	49	54	47
GENE_0389	49	54	44	55	48	50	44	54	48	49	52	72	60	45	48	48	53	53	48	51
GENE_0390	50	54	47	53	45	59	40	53	59	48	48	61	58	44	48	48	36	56	55	41
GENE_0391	56	47	48	52	47	43	41	63	63	46	54	63	54	42	50	43	48	41	54	53
GENE_0392	61	34	36	48	42	47	48	64	39	50	43	62	57	41	52	53	40	62	52	49
GENE_0393	47	50	51	47	45	51	42	58	63	44	47	46	45	54	40	45	50	40	68	46
GENE_0394	41	53	51	57	37	44	43	50	55	58	62	57	43	51	42	51	59	48	48	53
GENE_0395	50	59	53	46	50	42	47	46	55	50	54	51	59	66	57	46	41	59	41	42
GENE_0396	53	33	48	62	33	48	52	55	53	59	66	50	46	56	55	46	60	58	44	49
GENE_0397	48	37	52	50	52	58	57	43	43	29	37	57	46	55	47	67	56	46	54	56
GENE_0398	45	52	61	49	48	60	40	56	47	55	51	56	41	50	51	50	51	45	43	63
GENE_0399	60	50	47	64	46	49	49	54	50	42	44	63	43	48	49	51	38	44	46	55
GENE_0400	59	60	48	41	46	42	45	47	44	72	50	57	48	48	42	53	47	51	54	58
GENE_0401	44	60	48	55	52	63	57	47	34	50	45	63	39	52	60	52	60	63	54	55
GENE_0402	47	41	46	47	38	58	56	51	47	55	55	38	51	56	42	46	55	43	51	61
GENE_0403	54	35	55	52	56	45	43	43	54	48	61	48	43	48	51	40	52	46	54	51
GENE_0404	49	59	73	52	49	42	59	53	43	54	58	52	39	49	58	36	33	55	53	45
GENE_0405	54	46	48	37	46	49	48	62	51	50	45	40	56	50	50	48	51	55	48	51
GENE_0406	60	61	69	35	43	53	61	46	48	56	54	48	46	39	45	51	48	60	40	50
GENE_0407	52	55	59	65	50	44	53	52	61	51	47	50	64	49	45	63	58	46	50	42
GENE_0408	54	42	48	36	45	56	47	53	54	47	45	41	50	65	55	52	52	42	54	40
GENE_0409	45	62	44	41	38	46	59	51	54	46	47	52	36	66	45	44	57	55	47	39
GENE_0410	49	45	50	50	52	48	50	42	55	53	46	51	38	60	58	47	48	51	38	33
GENE_0411	49	55	47	50	68	54	48	41	47	52	46	46	51	41	44	56	55	52	60	43
GENE_0412	54	46	50	51	44	62	49	55	62	45	48	48	49	57	42	56	54	44	38	43
GENE_0413	50	54	55	53	48	65	61	46	53	53	63	50	51	46	38	52	54	45	46	58
GENE_0414	36	44	56	57	50	53	63	50	38	44	45	49	44	52	54	47	49	49	33	48
GENE_0415	59	46	63	50	43	54	53	47	51	36	50	59	56	52	44	44	58	56	44	52
GENE_0416	53	44	55	58	45	58	45	64	52	50	57	58	58	49	51	50	36	52	49	48
GENE_0417	56	45	58	44	53	44	60	48	56	50	46	54	59	58	53	52	47	51	46	47
GENE_0418	56	52	47	44	40	52	44	56	57	56	49	59	48	65	45	45	63	49	48	41
GENE_0419	64	40	57	49	52	46	51	46	53	62	62	47	45	40	58	55	65	48	62	54
GENE_0420	44	52	53	60	48	52	63	50	37	62	49	52	46	42	43	45	44	39	50	53
GENE_0421	53	41	48	50	47	45	50	48	43	49	52	43	58	59	58	47	56	73	37	48
GENE_0422	52	49	36	48	53	43	42	52	46	45	41	57	64	44	48	48	37	53	69	52
GENE_0423	56	51	48	48	39	41	51	52	54	47	55	65	56	50	58	46	49	47	59	51
GENE_0424	50	38	48	58	48	58	47	61	48	49	50	52	48	57	58	41	59	46	34	43
GENE_0425	36	52	47	55	41	44	55	44	60	53	38	52	58	47	48	45	49	45	50	58
GENE_0426	54	45	60	48	56	51	51	49	39	40	57	58	67	56	66	49	46	49	45	59
GENE_0427	46	48	60	45	50	52	58	47	49	47	63	53	41	52	47	60	42	54	50	44
GENE_0428	52	55	63	54	50	51	61	49	49	41	49	49	63	59	52	70	60	43	46	56
GENE_0429	57	51	45	62	50	60	45	48	42	59	53	37	63	64	46	56	60	62	60	58
GENE_0430	44	57	44	58	51	56	49	55	50	54	51	65	44	62	48	34	53	53	47	37
GENE_0431	57	57	55	43	57	46	59	65	63	55	53	45	45	62	41	62	58	54	54	56
GENE_0432	49	58	49	56	56	43	65	33	53	58	43	53	47	50	58	48	45	46	44	45
GENE_0433	50	56	54	59	48	67	51	51	52	68	58	49	45	52	53	46	41	32	44	44
GENE_0434	36	62	46	46	49	54	43	61	56	49	54	48	36	53	42	62	53	48	45	48
GENE_0435	50	47	43	65	49	54	42	56	41	52	48	54	44	51	36	55	52	49	59	65
GENE_0436	40	48	42	36	46	50	46	46	49	57	59	55	59	43	54	42	48	54	52	61
GENE_0437	46	58	49	40	49	55	55	54	46	58	50	64	43	56	41	44	47	40	63	48
GENE_0438	38	50	53	53	51	43	45	52	46	55	39	67	46	57	46	49	50	57	39	40
GENE_0439	65	51	52	44	56	41	47	54	50	48	44	50	54	35	43	51	46	58	43	64
GENE_0440	45	55	51	47	49	51	54	51	37	51	43	53	42	38	51	58	50	55	58	53
GENE_0441	58	51	39	59	63	61	55	40	57	50	42	46	51	62	50	46	51	46	49	54
GENE_0442	50	61	59	60	54	41	53	55	56	45	55	51	46	49	38	52	55	54	55	45
GENE_0443	46	58	58	60	53	36	42	52	43	43	52	52	48	40	51	49	55	59	61	54
GENE_0444	51	51	51	49	40	58	55	48	41	52	49	42	53	49	51	63	43	41	53	52
GENE_0445	52	52	53	55	50	46	57	47	39	58	53	50	58	55	45	60	44	58	65	38
GENE_0446	53	56	50	42	42	36	64	43	49	54	47	38	56	54	53	42	53	63	45	50
GENE_0447	47	62	56	61	49	56	58	56	45	49	51	42	48	53	54	49	51	46	44	48
GENE_0448	45	39	34	55	47	58	36	67	50	48	54	43	47	55	52	54	54	45	61	54
GENE_0449	52	49	42	41	46	52	39	47	46	50	55	46	54	48	48	49	48	35	33	52
GENE_0450	41	50	53	50	50	49	52	49	49	54	69	51	62	41	53	59	66	53	37	39
GENE_0451	51	59	54	46	47	52	57	54	55	49	55	50	56	50	55	40	56	54	63	52
GENE_0452	51	52	52	62	37	44	49	62	44	53	43	66	43	52	62	49	53	48	44	54
GENE_0453	56	56	49	53	53	51	51	47	57	68	55	50	46	50	35	65	50	48	55	55
GENE_0454	55	42	60	57	49	52	48	49	44	55	56	62	46	43	59	48	58	60	50	44
GENE_0455	49	50	48	48	59	52	55	41	38	36	53	47	49	61	58	56	50	58	48	47
GENE_0456	43	53	50	42	45	56	53	68	55	50	48	50	44	42	46	44	56	47	59	63
GENE_0457	47	60	48	62	44	44	44	40	53	36	53	48	52	50	41	44	35	47	59	50
GENE_0458	48	43	41	57	57	62	56	52	59	64	52	40	56	40	58	42	54	53	49	64
GENE_0459	52	63	54	51	60	58	59	40	50	40	55	43	45	50	47	58	49	40	55	53
GENE_0460	43	51	52	58	48	61	47	49	45	41	45	40	60	55	49	52	62	54	52	60
GENE_0461	50	36	59	49	43	53	64	50	50	60	42	51	46	53	38	57	60	66	51	53
GENE_0462	52	50	51	46	52	44	61	42	45	48	56	52	57	69	47	51	59	57	44	54
GENE_0463	54	57	54	64	54	59	48	66	48	47	53	43	49	50	47	44	49	45	55	53
GENE_0464	53	42	64	52	46	62	59	49	64	53	47	55	57	49	57	60	51	31	38	51
GENE_0465	45	46	49	52	39	51	46	50	50	61	55	45	52	50	56	50	59	53	47	44
GENE_0466	37	53	54	47	55	46	49	43	55	73	53	36	50	55	43	40	55	58	42	45
GENE_0467	48	47	54	59	57	48	49	42	48	37	56	51	43	44	35	44	39	52	51	54
GENE_0468	47	46	49	49	55	51	54	53	49	60	48	58	65	51	49	62	50	56	46	45
GENE_0469	45	56	48	49	57	50	62	50	46	49	39	49	49	50	42	52	52	44	56	47
GENE_0470	39	33	53	53	60	58	48	55	45	47	53	41	49	46	40	56	58	49	54	55
GENE_0471	39	54	50	52	55	56	53	56	54	40	44	47	56	48	56	54	48	37	46	42
GENE_0472	53	53	52	41	40	46	46	47	53	46	48	53	45	43	36	52	33	57	43	51
GENE_0473	36	57	54	55	61	39	44	48	40	47	56	50	45	55	46	48	45	42	56	43
GENE_0474	55	45	47	55	44	41	37	56	70	54	51	49	48	55	52	41	61	44	50	46
GENE_0475	37	51	60	54	48	50	50	56	52	66	52	47	58	55	49	44	49	49	54	55
GENE_0476	48	55	40	66	51	54	56	42	39	53	58	41	43	48	45	50	59	44	56	51
GENE_0477	54	50	47	64	57	53	42	56	55	58	54	55	52	42	38	58	36	55	45	48
GENE_0478	47	52	53	64	55	44	50	41	52	50	53	48	39	49	41	52	50	57	49	49
GENE_0479	53	53	42	61	71	61	44	41	49	55	44	51	50	51	41	43	52	44	70	61
GENE_0480	40	65	59	51	62	53	44	39	54	49	39	54	51	52	41	41	57	53	48	55
GENE_0481	48	51	35	61	56	47	46	47	49	39	55	57	44	43	42	38	52	58	62	62
GENE_0482	50	56	55	56	48	50	49	51	50	53	46	41	61	51	50	48	48	34	40	61
GENE_0483	56	48	41	36	59	50	57	55	54	44	57	32	43	55	60	49	60	47	46	49
GENE_0484	52	45	49	55	62	55	57	55	37	51	33	50	42	52	52	49	63	39	52	46
GENE_0485	40	59	47	60	51	58	47	43	50	48	48	47	70	54	45	45	53	56	52	50
GENE_0486	61	51	47	50	43	51	45	41	66	55	53	49	43	49	58	47	47	49	51	49
GENE_0487	66	44	41	56	49	60	49	50	44	57	48	52	50	50	50	45	59	52	44	34
GENE_0488	47	54	56	60	59	64	38	50	56	46	53	45	46	48	47	60	47	56	66	48
GENE_0489	50	46	41	63	58	61	37	46	46	44	44	59	59	43	52	54	54	49	54	58
GENE_0490	53	42	42	48	43	46	56	46	46	46	52	46	48	50	47	54	47	60	56	49
GENE_0491	49	45	46	57	61	46	46	58	52	42	53	57	41	39	47	57	55	47	54	52
GENE_0492	48	42	47	52	57	54	43	52	40	46	50	51	40	45	51	44	55	48	50	45
GENE_0493	39	38	32	51	45	47	51	60	49	50	52	53	52	49	59	44	54	45	45	52
GENE_0494	37	55	43	45	47	43	42	48	44	54	52	46	49	60	43	45	47	59	48	67
GENE_0495	67	41	38	50	48	47	43	49	42	50	51	54	55	53	38	41	65	70	49	53
GENE_0496	42	55	58	39	46	43	45	56	50	45	52	47	57	55	49	46	43	66	46	53
GENE_0497	42	48	47	39	40	51	56	52	49	42	55	41	52	42	56	52	64	56	51	60
GENE_0498	50	48	52	59	47	49	58	51	48	69	53	57	49	40	37	51	55	60	52	46
GENE_0499	50	54	45	43	42	48	56	66	49	48	48	51	47	48	57	53	66	51	48	61
GENE_0500	42	55	50	49	49	44	37	52	48	46	47	57	52	46	51	53	59	51	39	55
